-6.24	-98.8	-
62.68	82.13	+
-96.37	54.61	-
93.69	-2.04	+
84.65	60.95	+
40.86	72.28	+
-11.25	-27.86	-
12.24	31.94	+
-75.17	-69.84	-
45.13	-91.51	-
50.04	62.94	+
-46.88	80.47	+
-99.65	-50.19	-
42.63	64.33	+
-17.56	35.83	+
6.71	9.88	+
-71.0	-36.99	-
21.82	66.59	+
72.64	20.34	+
75.47	64.34	+
-36.61	-58.75	-
90.78	48.43	+
-33.69	-38.77	-
31.39	15.52	+
-93.92	23.59	-
38.13	-85.03	-
11.87	-91.89	-
-66.15	17.25	-
45.95	-80.15	-
-11.15	39.92	+
-20.32	91.24	+
90.96	-97.3	-
-49.01	-43.09	-
48.57	-5.16	+
-97.16	-37.74	-
26.47	22.35	+
-82.07	53.7	+
92.78	-23.86	+
-50.69	1.79	-
-59.88	-88.48	-
-12.85	72.67	+
63.9	85.18	+
36.99	79.69	+
-66.43	51.8	+
34.78	-25.21	-
95.01	-65.82	-
-45.97	14.52	-
35.88	86.5	+
-49.66	-81.45	-
-8.71	26.29	+
-14.58	32.71	+
-60.18	-95.48	-
45.48	97.51	+
-52.55	21.16	-
42.67	71.61	+
31.76	72.8	+
42.96	-67.11	-
51.81	32.27	+
1.8	-79.9	-
5.42	89.13	+
-18.48	71.93	+
10.08	44.22	+
11.16	23.86	+
35.02	-72.8	-
-30.48	44.52	+
52.62	-23.2	+
-21.76	-22.07	-
-60.58	40.8	+
75.69	23.71	+
23.11	33.58	+
94.97	-79.09	-
-71.9	-77.04	-
-58.72	-85.66	-
-81.52	-26.36	-
-26.09	-10.03	-
-46.34	-6.81	-
39.94	70.92	+
78.76	-5.63	+
-4.96	-60.59	-
31.08	79.11	+
96.94	-10.12	+
-6.48	-14.52	-
-6.71	18.46	+
-37.49	57.03	+
-15.99	48.27	+
-95.57	-23.43	-
92.81	74.66	+
40.66	36.32	+
-3.48	-67.01	-
-86.09	-1.53	-
69.51	-86.71	-
5.24	-57.43	-
-72.48	7.21	-
-88.04	-10.73	-
-33.01	-34.12	-
35.37	-31.63	-
-53.83	-32.96	-
-62.5	-77.75	-
58.4	-52.08	-
-97.67	-58.88	-
